state_abb,Not at all closely,Not very closely,Somewhat closely,Very closely,Error Margin,N,Wave
WI,5.3,8.3,31,55.4,5.5,443,7
WV,2.9,8.1,24.4,64.7,6.8,362,7
WY,11.5,16.6,22.9,49,10,155,7
National,4.5,8.2,26.3,61,0.9,21115,9
AK,8.3,3.6,15.5,72.6,11.9,123,9
AL,6.1,10.2,28.2,55.6,5.4,519,9
AR,5,12.1,25.1,57.8,6.3,387,9
AZ,4,5.7,30.9,59.5,5.8,464,9
CA,6.1,6.3,22.6,65.1,4.2,804,9
CO,8.2,12.9,27.9,51,5.5,474,9
CT,2.3,6.2,23.3,68.2,5.4,410,9
DC,1.2,5.7,20.1,73,8.1,234,9
DE,1.9,8,22.3,67.7,7.5,277,9
FL,1.9,7.7,21.7,68.6,4.4,580,9
GA,5.8,9.5,26.7,58.1,4.8,602,9
HI,2.1,4,23.2,70.8,7.8,256,9
IA,5.6,8.4,37.2,48.8,7.5,251,9
ID,9.8,12.2,29.2,48.8,8,266,9
IL,3.4,7.8,23.2,65.6,4.5,507,9
IN,6.7,11.4,26.7,55.2,5.4,463,9
KS,4.6,12.6,32.3,50.6,5.9,435,9
KY,5.4,11.1,25.8,57.6,5.2,510,9
LA,4.7,7.5,24.5,63.3,6.2,441,9
MA,2.5,5.5,26,66,4.6,600,9
MD,3,4.2,26.7,66.1,4.7,536,9
ME,4.4,9.9,27.6,58.1,6.9,285,9
MI,3.8,7,29.9,59.3,5,578,9
MN,6,7.4,30.2,56.3,5.3,525,9
MO,5.6,10,32.5,51.9,5.3,505,9
MS,3.4,7,30.3,59.2,7.3,398,9
MT,6.6,11.6,28.8,53,8.4,209,9
NC,3.9,9.2,23.6,63.3,4.6,519,9
ND,6.4,12.6,39.7,41.4,9,184,9
NE,8.9,11.7,35.9,43.5,7.2,305,9
NH,2.1,13.4,26.6,57.9,8.2,202,9
NJ,1,5.2,23,70.8,4.5,513,9
NM,5.6,8.8,20.1,65.4,7.5,313,9
NV,3.7,9,30.6,56.7,6.2,435,9
NY,1.1,5.1,25.9,67.8,4.6,615,9
OH,5.2,9.4,26.4,59,4.7,514,9
