,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
188,2020-06-01 2020-06-30,Ohio,12.0,13.0,80.0,30.0,10.0
189,2020-06-01 2020-06-30,Oklahoma,15.0,52.0,87.0,77.0,0.0
190,2020-06-01 2020-06-30,Oregon,31.0,0.0,56.0,67.0,27.0
191,2020-06-01 2020-06-30,Pennsylvania,10.0,20.0,61.0,45.0,54.0
192,2020-06-01 2020-06-30,Rhode Island,38.0,0.0,88.0,0.0,0.0
193,2020-06-01 2020-06-30,South Carolina,10.0,11.0,68.0,38.0,51.0
194,2020-06-01 2020-06-30,South Dakota,0.0,0.0,58.0,0.0,0.0
195,2020-06-01 2020-06-30,Tennessee,14.0,0.0,71.0,46.0,36.0
196,2020-06-01 2020-06-30,Texas,23.0,23.0,78.0,27.0,31.0
197,2020-06-01 2020-06-30,Utah,14.0,0.0,66.0,19.0,37.0
198,2020-06-01 2020-06-30,Vermont,0.0,0.0,13.0,0.0,0.0
199,2020-06-01 2020-06-30,Virginia,9.0,33.0,48.0,30.0,0.0
200,2020-06-01 2020-06-30,Washington,6.0,13.0,62.0,43.0,87.0
201,2020-06-01 2020-06-30,West Virginia,0.0,0.0,55.0,0.0,0.0
202,2020-06-01 2020-06-30,Wisconsin,25.0,19.0,64.0,42.0,21.0
203,2020-06-01 2020-06-30,Wyoming,100.0,0.0,67.0,0.0,0.0
204,2020-07-01 2020-07-31,Alabama,19.0,16.0,71.0,6.0,30.0
205,2020-07-01 2020-07-31,Alaska,0.0,0.0,71.0,100.0,79.0
206,2020-07-01 2020-07-31,Arizona,46.0,15.0,68.0,11.0,18.0
207,2020-07-01 2020-07-31,Arkansas,35.0,29.0,76.0,0.0,37.0
208,2020-07-01 2020-07-31,California,31.0,8.0,40.0,23.0,21.0
209,2020-07-01 2020-07-31,Colorado,62.0,31.0,56.0,21.0,39.0
210,2020-07-01 2020-07-31,Connecticut,29.0,16.0,42.0,19.0,31.0
211,2020-07-01 2020-07-31,Delaware,41.0,22.0,38.0,54.0,0.0
212,2020-07-01 2020-07-31,District of Columbia,0.0,47.0,18.0,29.0,45.0
213,2020-07-01 2020-07-31,Florida,25.0,18.0,43.0,20.0,20.0
214,2020-07-01 2020-07-31,Georgia,16.0,7.0,50.0,17.0,10.0
215,2020-07-01 2020-07-31,Hawaii,100.0,36.0,35.0,0.0,35.0
216,2020-07-01 2020-07-31,Idaho,54.0,44.0,53.0,18.0,28.0
217,2020-07-01 2020-07-31,Illinois,20.0,20.0,49.0,23.0,18.0
218,2020-07-01 2020-07-31,Indiana,7.0,23.0,71.0,14.0,7.0
219,2020-07-01 2020-07-31,Iowa,0.0,24.0,59.0,49.0,31.0
220,2020-07-01 2020-07-31,Kansas,17.0,18.0,56.0,22.0,18.0
221,2020-07-01 2020-07-31,Kentucky,32.0,6.0,55.0,14.0,44.0
222,2020-07-01 2020-07-31,Louisiana,11.0,6.0,62.0,7.0,11.0
223,2020-07-01 2020-07-31,Maine,0.0,33.0,44.0,0.0,0.0
224,2020-07-01 2020-07-31,Maryland,23.0,12.0,29.0,19.0,12.0
225,2020-07-01 2020-07-31,Massachusetts,15.0,19.0,33.0,26.0,42.0
226,2020-07-01 2020-07-31,Michigan,16.0,19.0,47.0,21.0,29.0
227,2020-07-01 2020-07-31,Minnesota,28.0,23.0,37.0,14.0,22.0
228,2020-07-01 2020-07-31,Mississippi,19.0,10.0,50.0,13.0,0.0
229,2020-07-01 2020-07-31,Missouri,14.0,19.0,64.0,19.0,15.0
230,2020-07-01 2020-07-31,Montana,46.0,100.0,67.0,0.0,0.0
231,2020-07-01 2020-07-31,Nebraska,22.0,12.0,46.0,15.0,0.0
232,2020-07-01 2020-07-31,Nevada,26.0,35.0,54.0,17.0,13.0
233,2020-07-01 2020-07-31,New Hampshire,29.0,16.0,33.0,38.0,90.0
234,2020-07-01 2020-07-31,New Jersey,15.0,10.0,37.0,15.0,23.0
235,2020-07-01 2020-07-31,New Mexico,21.0,34.0,68.0,0.0,0.0
236,2020-07-01 2020-07-31,New York,29.0,9.0,30.0,16.0,12.0
237,2020-07-01 2020-07-31,North Carolina,22.0,16.0,47.0,19.0,19.0
238,2020-07-01 2020-07-31,North Dakota,0.0,0.0,48.0,0.0,69.0
239,2020-07-01 2020-07-31,Ohio,28.0,9.0,65.0,12.0,22.0
240,2020-07-01 2020-07-31,Oklahoma,66.0,7.0,58.0,17.0,28.0
241,2020-07-01 2020-07-31,Oregon,37.0,20.0,51.0,31.0,0.0
242,2020-07-01 2020-07-31,Pennsylvania,34.0,17.0,48.0,18.0,38.0
243,2020-07-01 2020-07-31,Rhode Island,66.0,18.0,28.0,22.0,0.0
244,2020-07-01 2020-07-31,South Carolina,35.0,19.0,39.0,17.0,9.0
245,2020-07-01 2020-07-31,South Dakota,0.0,0.0,50.0,79.0,0.0
246,2020-07-01 2020-07-31,Tennessee,43.0,23.0,56.0,8.0,13.0
247,2020-07-01 2020-07-31,Texas,30.0,24.0,57.0,19.0,25.0
248,2020-07-01 2020-07-31,Utah,64.0,21.0,64.0,8.0,13.0
249,2020-07-01 2020-07-31,Vermont,0.0,0.0,28.0,0.0,70.0
250,2020-07-01 2020-07-31,Virginia,25.0,11.0,30.0,5.0,13.0
251,2020-07-01 2020-07-31,Washington,30.0,14.0,43.0,40.0,11.0
252,2020-07-01 2020-07-31,West Virginia,0.0,17.0,100.0,42.0,100.0
