,state,wave,Avoiding contact with other people: Not at all closely,Avoiding contact with other people: Not very closely,Avoiding contact with other people: Somewhat closely,Avoiding contact with other people: Very closely,Avoiding contact with other people: Error Margin,Avoiding contact with other people: N,Avoiding public or crowded places: Not at all closely,Avoiding public or crowded places: Not very closely,Avoiding public or crowded places: Somewhat closely,Avoiding public or crowded places: Very closely,Avoiding public or crowded places: Error Margin,Avoiding public or crowded places: N,Frequently washing hands: Not at all closely,Frequently washing hands: Not very closely,Frequently washing hands: Somewhat closely,Frequently washing hands: Very closely,Frequently washing hands: Error Margin,Frequently washing hands: N,Disinfecting often: Not at all closely,Disinfecting often: Not very closely,Disinfecting often: Somewhat closely,Disinfecting often: Very closely,Disinfecting often: Error Margin,Disinfecting often: N,Wearing a face mask when outside of your home: Not at all closely,Wearing a face mask when outside of your home: Not very closely,Wearing a face mask when outside of your home: Somewhat closely,Wearing a face mask when outside of your home: Very closely,Wearing a face mask when outside of your home: Error Margin,Wearing a face mask when outside of your home: N
88,OH,2,3.2,4.8,33.0,58.9,4.7,529,2.4,4.5,19.5,73.6,4.3,527,1.2,3.3,16.9,78.5,4.0,529,3.3,11.6,28.9,56.2,4.8,529,12.0,12.8,22.1,53.2,4.8,527
89,OK,2,3.4,8.8,32.7,55.0,7.4,329,2.4,5.8,26.9,65.0,7.0,329,1.5,5.3,22.4,70.8,6.7,331,5.2,12.1,24.4,58.3,7.3,331,14.9,17.2,20.7,47.2,7.4,331
90,OR,2,3.5,6.1,32.0,58.4,5.4,407,2.4,5.5,27.6,64.5,5.3,410,1.2,3.5,19.7,75.6,4.7,409,4.9,12.5,29.5,53.1,5.5,410,19.9,13.0,21.6,45.6,5.5,410
91,PA,2,1.8,5.3,25.6,67.4,4.3,563,1.1,5.7,18.8,74.5,4.0,562,0.4,3.9,16.0,79.7,3.7,562,3.2,8.2,26.3,62.3,4.5,562,3.4,3.6,16.8,76.2,3.9,561
92,RI,2,1.2,4.2,19.2,75.4,5.8,317,1.1,2.0,14.3,82.6,5.1,316,0.3,3.8,14.7,81.2,5.2,316,0.0,9.0,26.8,64.2,6.4,317,1.0,1.1,16.0,81.9,5.2,315
93,SC,2,3.0,7.2,35.4,54.5,6.2,418,3.2,6.9,21.0,69.0,5.7,422,1.6,2.8,18.7,76.9,5.2,422,3.3,12.6,27.8,56.3,6.1,422,15.4,16.8,18.2,49.6,6.1,423
94,SD,2,3.3,7.5,40.5,48.7,8.1,228,3.8,3.9,27.9,64.3,7.7,230,0.0,6.4,28.2,65.3,7.7,229,5.6,11.8,35.4,47.2,8.1,228,20.4,21.2,20.1,38.3,7.8,228
95,TN,2,2.6,6.4,30.9,60.1,5.5,454,2.6,4.8,23.8,68.7,5.2,452,1.0,3.2,18.5,77.3,4.7,453,1.5,8.7,27.5,62.3,5.4,454,16.5,10.2,21.2,52.1,5.6,451
96,TX,2,1.1,3.3,29.5,66.0,5.1,582,1.1,3.1,22.9,72.9,4.8,582,0.8,3.6,18.3,77.3,4.5,580,2.2,8.3,30.2,59.3,5.3,580,10.8,7.0,19.6,62.6,5.3,576
97,UT,2,2.9,6.6,38.6,52.0,7.1,310,2.4,7.0,27.4,63.1,6.9,312,2.8,1.6,17.0,78.6,5.9,309,5.0,11.1,27.3,56.5,7.1,311,19.9,8.9,28.1,43.1,7.1,311
98,VA,2,1.3,4.4,31.9,62.4,4.7,510,2.0,2.9,22.7,72.4,4.3,511,1.6,2.3,15.1,81.0,3.8,510,2.9,8.5,29.3,59.3,4.7,511,10.7,7.9,23.1,58.3,4.8,507
99,VT,2,0.7,4.3,31.1,64.0,7.4,241,1.4,5.4,21.7,71.6,7.0,239,0.9,1.6,27.0,70.4,7.0,241,3.0,14.8,26.3,55.9,7.7,241,5.9,9.8,17.9,66.5,7.3,241
100,WA,2,3.0,2.6,30.5,63.9,5.3,434,1.8,3.0,20.2,75.1,4.8,434,1.3,2.9,17.1,78.6,4.5,435,3.6,11.3,32.6,52.5,5.5,431,13.5,9.7,23.9,52.9,5.5,432
101,WI,2,3.3,5.9,34.8,56.0,4.9,549,1.8,6.2,21.3,70.8,4.5,547,0.8,3.0,20.2,76.0,4.3,549,4.6,10.3,31.1,53.9,5.0,546,15.7,12.9,23.7,47.6,5.0,547
