,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,state
2779,US_CO,STATE_WIDE,20201016,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,83230.0,2172.0,42.13,49.72,47.76,Colorado
2780,US_CO,STATE_WIDE,20201017,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,84369.0,2176.0,42.13,49.72,47.76,Colorado
2781,US_CO,STATE_WIDE,20201018,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,85302.0,2176.0,42.13,49.72,47.76,Colorado
2782,US_CO,STATE_WIDE,20201019,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,86374.0,2180.0,42.13,49.72,47.76,Colorado
2783,US_CO,STATE_WIDE,20201020,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,87582.0,2182.0,42.13,49.72,47.76,Colorado
2784,US_CO,STATE_WIDE,20201021,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,88849.0,2194.0,42.13,49.72,47.76,Colorado
2785,US_CO,STATE_WIDE,20201022,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,90222.0,2198.0,42.13,49.72,47.76,Colorado
2786,US_CO,STATE_WIDE,20201023,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,91572.0,2211.0,42.13,49.72,47.76,Colorado
2787,US_CO,STATE_WIDE,20201024,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,93400.0,2218.0,42.13,49.72,47.76,Colorado
2788,US_CO,STATE_WIDE,20201025,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,95089.0,2223.0,42.13,49.72,47.76,Colorado
2789,US_CO,STATE_WIDE,20201026,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,97300.0,2226.0,42.13,49.72,47.76,Colorado
